machine_id,machine_type,temperature,vibration,pressure,rpm,humidity,power_draw,operating_hours,maintenance_gap_days,tool_wear,age_days,thermal_stress,mechanical_stress,energy_intensity,maintenance_urgency,anomaly_label,failure_within_7_days
M-00140,cnc,58.29,5.31,33.95,1345.27,64.09,356.66,13.34,46,28.5,991,-0.345,3.414,0.265,3.466,0,0
M-00141,compressor,81.71,4.61,37.36,1532.0,53.73,302.06,5.72,43,93.43,981,0.723,4.591,0.197,2.881,0,1
M-00142,compressor,86.68,4.31,27.54,1591.14,70.07,328.53,11.32,49,33.08,730,1.135,3.306,0.206,3.248,0,1
M-00143,turbine,65.43,0.57,28.42,1859.78,54.92,367.49,13.8,30,17.29,1142,-0.079,1.316,0.198,2.98,0,0
M-00144,robotic_arm,73.91,7.08,24.56,1703.24,51.76,351.29,5.47,20,23.94,520,0.313,4.805,0.206,1.561,1,0
M-00145,compressor,56.75,2.95,27.87,1483.83,70.31,385.18,21.29,31,33.18,238,-0.36,2.405,0.26,2.715,0,0
M-00146,cnc,61.41,7.07,28.04,1289.55,33.54,456.35,14.78,58,54.64,818,-0.494,4.825,0.354,3.888,1,1
M-00147,compressor,84.48,2.17,26.9,1742.32,44.98,350.69,12.32,13,11.3,766,0.774,1.909,0.201,1.898,0,0
M-00148,compressor,69.34,3.06,26.57,1383.66,41.35,275.02,11.94,40,86.22,1105,-0.02,3.385,0.199,3.237,0,1
M-00149,compressor,62.91,1.12,29.37,1331.53,25.66,338.27,4.57,15,88.36,338,-0.498,2.283,0.254,1.156,0,0
M-00150,cnc,76.29,4.71,29.3,1374.93,62.48,335.47,14.38,46,35.24,265,0.54,3.258,0.244,2.923,0,0
M-00151,turbine,68.78,2.66,42.24,1224.59,45.31,344.88,13.51,26,78.65,843,-0.008,2.785,0.282,2.553,0,0
M-00152,turbine,69.29,2.7,28.63,1366.3,62.86,402.18,10.92,51,61.97,435,0.193,2.675,0.294,3.058,0,1
M-00153,cnc,81.39,2.28,33.06,1408.04,56.67,195.53,17.17,11,85.32,295,0.736,2.971,0.139,1.716,0,0
M-00154,robotic_arm,62.38,5.29,27.54,1581.52,59.29,403.4,12.22,9,31.31,835,-0.188,3.794,0.255,1.789,0,0
M-00155,cnc,64.95,5.2,27.46,1380.14,46.54,425.28,15.44,57,62.97,295,-0.187,4.089,0.308,3.452,0,1
M-00156,robotic_arm,75.54,6.74,20.77,1221.86,42.83,341.92,21.7,21,11.91,1014,0.305,3.689,0.28,2.987,0,1
M-00157,cnc,83.69,3.24,21.57,1161.32,53.08,343.49,11.28,6,5.9,435,0.815,1.559,0.296,1.279,0,0
M-00158,robotic_arm,86.38,4.51,23.76,1487.72,63.03,289.29,11.96,50,88.1,813,1.049,4.366,0.194,3.395,0,1
M-00159,robotic_arm,67.35,2.39,32.1,1463.07,51.4,305.41,21.32,26,32.98,730,-0.019,2.067,0.209,2.927,0,0
M-00160,turbine,83.37,3.73,37.46,1350.22,43.58,350.37,11.16,55,47.31,745,0.704,2.927,0.259,3.491,0,0
M-00161,cnc,66.16,3.47,20.28,1365.86,37.61,346.18,12.79,27,27.02,427,-0.216,2.402,0.253,2.203,0,0
M-00162,turbine,92.26,4.85,27.71,1519.93,54.45,351.85,20.02,45,88.3,185,1.258,4.605,0.231,3.155,0,1
M-00163,cnc,62.66,5.62,22.8,1700.3,45.35,345.73,15.84,35,41.53,799,-0.313,4.353,0.203,3.016,0,0
M-00164,cnc,87.28,5.59,29.41,1309.57,51.14,363.4,22.68,29,22.02,571,0.976,3.384,0.277,2.996,0,1
M-00165,robotic_arm,67.44,3.02,37.45,1466.0,49.13,356.13,13.41,30,62.76,1174,-0.037,3.011,0.243,2.983,0,0
M-00166,compressor,94.13,5.6,28.32,1622.49,46.67,238.42,13.58,16,24.52,1078,1.273,3.887,0.147,2.353,0,1
M-00167,turbine,79.91,4.14,30.71,1310.3,55.53,359.1,4.86,44,29.77,172,0.651,2.743,0.274,2.195,0,0
M-00168,turbine,63.84,3.75,39.73,1447.19,58.65,425.81,7.95,32,68.92,491,-0.121,3.506,0.294,2.166,0,1
M-00169,compressor,68.78,3.21,33.75,1443.16,75.58,303.27,14.8,2,96.13,551,0.295,3.749,0.21,1.427,0,1
M-00170,turbine,81.81,3.42,26.44,1213.97,61.1,402.47,7.74,25,76.71,512,0.802,3.147,0.332,1.891,0,1
M-00171,cnc,84.53,6.64,31.95,1480.33,71.12,245.38,13.07,25,16.79,892,1.038,4.102,0.166,2.528,0,1
M-00172,compressor,73.29,4.63,26.03,1455.68,42.18,303.07,9.67,53,34.69,486,0.186,3.32,0.208,3.105,0,0
M-00173,cnc,74.45,4.44,33.52,1549.92,32.79,263.32,4.42,26,80.65,259,0.15,4.272,0.17,1.521,0,1
M-00174,turbine,81.58,3.83,34.09,1236.36,51.83,394.65,13.5,34,31.14,492,0.697,2.497,0.319,2.58,0,0
M-00175,cnc,75.32,7.62,22.8,1451.79,62.3,411.63,16.93,6,75.31,963,0.489,5.774,0.284,2.058,1,1
M-00176,cnc,61.06,6.03,32.05,1698.71,60.41,298.55,10.76,24,49.82,539,-0.243,4.738,0.176,2.055,0,1
M-00177,compressor,65.87,3.19,30.29,1823.95,66.54,381.12,19.53,18,89.02,406,0.059,4.141,0.209,2.23,0,1
M-00178,turbine,76.35,3.82,34.27,1680.42,21.56,412.29,6.92,30,39.12,948,0.133,3.282,0.245,2.405,0,0
M-00179,turbine,86.15,3.9,35.99,1238.13,67.04,302.86,5.83,54,93.78,163,1.078,3.789,0.245,2.645,0,1
M-00180,robotic_arm,90.16,4.4,33.86,1531.19,56.03,313.43,22.7,56,43.71,595,1.168,3.484,0.205,4.098,0,1
M-00181,turbine,81.8,3.22,29.18,1363.03,33.47,352.68,22.43,18,73.99,204,0.524,3.197,0.259,2.236,0,1
M-00182,turbine,76.87,4.81,36.6,1501.1,60.68,250.24,12.13,37,23.54,763,0.55,3.263,0.167,2.844,0,0
M-00183,compressor,81.49,6.23,25.76,1311.0,54.03,312.16,12.4,57,55.42,1088,0.715,4.409,0.238,3.931,0,1
M-00184,compressor,67.33,2.36,23.08,1141.57,56.57,444.28,21.02,15,34.46,581,0.032,1.619,0.389,2.345,1,0
M-00185,turbine,72.47,2.62,11.83,1387.99,63.99,272.5,14.61,27,6.21,1179,0.363,1.548,0.196,2.939,1,0
M-00186,robotic_arm,65.76,3.52,30.58,1580.07,57.16,360.5,6.34,31,46.54,1059,-0.04,3.126,0.228,2.503,0,0
M-00187,compressor,61.51,3.59,26.07,1501.84,34.33,339.05,6.3,2,21.39,897,-0.481,2.547,0.226,1.205,0,0
M-00188,cnc,77.34,7.0,33.39,1522.53,50.28,294.36,6.62,29,96.07,288,0.47,5.945,0.193,1.797,0,1
M-00189,robotic_arm,75.86,5.6,19.17,1488.94,32.59,319.41,19.62,9,81.82,126,0.219,4.845,0.215,1.642,0,1
M-00190,cnc,80.88,5.52,27.12,1522.81,59.79,418.92,16.04,20,75.25,226,0.742,4.718,0.275,1.951,0,1
M-00191,turbine,79.46,3.83,33.82,1545.31,68.78,340.98,10.0,8,48.07,476,0.761,3.275,0.221,1.316,0,1
M-00192,cnc,76.43,3.8,24.82,1400.56,37.1,351.14,7.24,44,29.61,542,0.292,2.683,0.251,2.646,0,0
M-00193,cnc,79.57,2.17,33.46,1464.92,43.94,409.06,6.47,50,35.81,323,0.518,2.001,0.279,2.657,0,0
M-00194,turbine,73.57,5.29,27.66,1763.79,41.41,286.19,18.83,17,24.41,1171,0.193,3.92,0.162,2.785,0,1
M-00195,cnc,78.13,4.89,30.8,1475.57,46.55,236.95,21.72,4,57.43,914,0.472,3.945,0.161,2.225,0,1
M-00196,cnc,66.74,6.0,34.57,1457.66,56.95,419.94,14.62,30,82.07,866,0.006,5.024,0.288,2.799,0,1
M-00197,robotic_arm,77.7,3.9,36.72,1468.52,46.68,313.87,19.45,8,22.8,812,0.452,2.702,0.214,2.164,0,0
M-00198,turbine,80.68,4.0,31.55,1410.78,59.83,363.08,9.66,27,5.43,774,0.733,2.325,0.257,2.305,0,0
M-00199,cnc,67.3,4.44,26.12,1371.64,64.78,255.45,15.71,33,16.93,1068,0.113,2.739,0.186,3.153,0,0
M-00200,compressor,74.52,5.45,28.25,1487.56,65.22,330.25,12.76,29,48.79,523,0.478,4.098,0.222,2.361,0,1
M-00201,turbine,67.76,2.14,34.82,1358.97,38.58,233.7,5.75,32,6.77,245,-0.126,1.255,0.172,1.829,0,0
M-00202,turbine,68.73,5.23,24.87,1423.81,68.63,309.14,13.75,34,43.31,417,0.223,3.777,0.217,2.532,0,0
M-00203,compressor,62.75,4.17,29.93,1307.71,69.59,262.88,20.94,11,15.56,344,-0.067,2.474,0.201,1.983,0,0
M-00204,cnc,86.66,2.72,28.68,1469.44,70.63,247.95,5.04,41,15.24,1151,1.139,1.899,0.169,2.901,0,0
M-00205,cnc,84.66,1.28,30.38,1555.16,50.11,285.3,13.54,40,72.7,719,0.834,2.38,0.183,3.012,0,0
